nuclei,File,Nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,Cy5File,X_A,Y_A,Z_A,x,y,z,Channel,Fret,Acceptor,Donor,Cy5,Pair
8,003.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,123,129,29,120,130,27,a488,2363,1294,3463,2040,1
8,003.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,155,62,26,156,58,24,a488,2824,1416,5206,2575,2
8,003.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,133,87,30,128,87,28,a488,2418,1888,3428,2200,3
8,003.NM,1,4,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,90,153,21,95,152,23,a488,2174,1293,7638,2052,4
9,003.NM,2,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,507,223,24,506,220,23,a488,2252,1295,9789,2000,1
9,003.NM,2,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,538,218,25,539,221,27,a488,2181,1212,3312,2146,2
9,003.NM,2,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,567,230,28,569,234,26,a488,2201,1494,11510,1930,3
9,003.NM,2,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,529,240,22,533,238,20,a488,2202,1214,4206,1990,4
9,003.NM,2,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,587,229,25,591,226,23,a488,2048,1319,6434,3397,5
11,003.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,144,749,27,143,750,29,a488,2246,1447,4787,1929,1
11,003.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,197,772,23,196,774,21,a488,2287,1454,3596,2042,2
11,003.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,260,760,27,260,756,25,a488,2027,1902,7614,1729,3
11,003.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,171,749,32,169,743,33,a488,2497,1370,3705,2058,4
11,003.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,164,728,30,164,728,27,a488,2265,1415,11064,2643,5
11,003.NM,4,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_003.tif,253,730,29,253,730,26,a488,1973,1342,10503,2028,6
15,004.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_004.tif,148,847,25,147,848,27,a488,1938,1168,3200,2420,1
15,004.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_004.tif,156,873,21,162,874,20,a488,1891,1408,3074,1984,2
15,004.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_004.tif,159,903,27,155,906,25,a488,1715,1250,11090,3455,3
15,004.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_004.tif,128,852,23,127,847,25,a488,1818,1798,3142,1937,4
15,004.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_004.tif,180,876,29,180,875,26,a488,1750,1213,9081,2035,5
15,004.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_004.tif,190,840,22,191,840,25,a488,2038,1222,3194,1799,6
16,005.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,236,87,26,233,87,28,a488,2259,2089,3294,2446,1
16,005.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,192,221,23,189,219,21,a488,2092,1215,7515,2253,2
16,005.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,236,118,25,234,115,23,a488,2204,1178,3304,1861,3
16,005.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,183,128,19,184,124,21,a488,1825,1440,3116,1957,4
16,005.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,197,95,23,201,98,21,a488,2009,1254,10568,2066,5
16,005.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,179,171,19,175,176,20,a488,2322,1287,3261,2328,6
18,005.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,594,845,19,594,846,20,a488,2592,2057,4907,1937,1
18,005.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,573,873,19,575,876,18,a488,2427,1568,6211,2520,2
18,005.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,694,881,21,693,883,23,a488,2034,1845,3752,1923,3
18,005.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,641,852,21,640,855,19,a488,2274,1579,3757,2326,4
18,005.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,671,866,22,674,870,20,a488,2273,1500,6770,7325,5
18,005.NM,3,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a594_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/a488fret_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM798_20220707_001/Cy5_005.tif,561,857,24,556,858,26,a488,2516,1543,12906,4462,6
